"Questionnaire","Section","Item #","Question","Plain English","Coverage","Proposed Answer","Flag Risk","Gap Description","Required Fix - File","Required Fix - Text","Required Fix - Words"
"UCSF Security Review","Roles & Responsibilities","1","Are information security roles and responsibilities for the entire workforce established? Are all workforce members aware of and understand their role in information security? (logging off, securing patient records, etc.)","Does everyone at Millie know what they personally need to do to keep patient data safe?","Full","Yes. Millie's required Privacy & Security training covers workforce responsibilities (minimum-necessary access, breach reporting, device/password security, encryption, screen locking, secure document handling) and the 01d. Safeguards Policy Policy assigns workforce-level safeguards. Workforce training acknowledgement is collected per 01d. Safeguards Policy §IV.","Low","Confirm training acknowledgement process and refresh evidence (next training cycle).","N/A — supporting doc","Refresh / finalize workforce security roles & responsibilities document and attach training acknowledgement records.","14"
"UCSF Security Review","Roles & Responsibilities","2","Are information security roles and responsibilities for third-party stakeholders established?","Do our vendors know what they're responsible for protecting?","Full","Yes. The 06a. Business Associate Agreement Policy requires a BAA before any vendor creates, receives, maintains, or transmits PHI; the Supporting Sources/Millie Matrix of Platforms, Software Subscriptions, and Access (1).xlsx identifies third-party systems, access setup owners, license model, and admins.","Low","—","N/A","","0"
"UCSF Security Review","Asset Management","3","Are platforms (hardware, devices, applications, software) prioritized based on the information they process, operational criticality, and business value?","If everything went down at once, do you know which systems to bring back first?","Partial","The Supporting Sources/Millie Matrix of Platforms, Software Subscriptions, and Access (1).xlsx is an application/platform inventory (priority column exists), and the 04a. Contingency Planning Policy requires an IT inventory, but a documented recovery-priority order (RTO/RPO per system) is not yet formalized. User-stated software priority: backend, mobile app, admin/frontend.","Medium","No formal Critical Systems & Recovery Priority Matrix exists.","N/A — supporting doc","Create a Critical Systems & Recovery Priority Matrix (systems × sensitivity × criticality × owner × RTO/RPO × restart order).","20"
"UCSF Security Review","Security Program","4","10) Has your organization implemented a security policy? (If so, please attach)","Do you have a written security policy?","Full","Yes. Millie maintains a consolidated policy suite including 01a. Information Security Framework, 01c. Risk Management Policy, 01d. Safeguards Policy, 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations, 04a. Contingency Planning Policy, 05a. Incident & Breach Response, 06a. Business Associate Agreement Policy, 06b. SDLC & Asset Lifecycle Policy, 02c. PHI Use, Disclosure, Minimum Necessary & De-Identification, 02b. Patient Rights — Access, Amendment & Accounting of Disclosures, 04b. Paper Document Management Policy, plus the 04c. COVID Policy and 04d. Medical Waste Management Plan.","Low","—","N/A","","0"
"UCSF Security Review","Roles & Responsibilities","5","11) Are information security roles & responsibilities documented in writing and communicated throughout the organization?","Is it written down who's responsible for security, and does everyone know who that is?","Full","Yes. Workforce training identifies the Chief Privacy Officer and Chief Security Officer; 01c. Risk Management Policy and 05a. Incident & Breach Response explicitly assign responsibilities to those roles plus the Risk Review Committee. 01b. HIPAA Definitions defines the Risk Management Team membership.","Low","Job descriptions weren't reviewed; only assert role responsibilities, not that they live in JDs (unless HR confirms).","N/A — supporting doc","Optional: Security & Privacy Roles / RACI addendum referencing HR job descriptions.","12"
"UCSF Security Review","Legal & Regulatory","6","12) Are legal and regulatory requirements regarding securing information, including privacy and civil liberties obligations, understood and managed?","Do you follow HIPAA and other healthcare privacy laws?","Full","Yes. The HIPAA policy suite addresses Privacy Rule (use & disclosure, patient rights, marketing, accounting), Breach Notification, Minimum Necessary, De-Identification, Definitions, and Safeguards. Citations: 02c. PHI Use, Disclosure, Minimum Necessary & De-Identification, 02b. Patient Rights — Access, Amendment & Accounting of Disclosures, §II of 05a. Incident & Breach Response, 01b. HIPAA Definitions, 01d. Safeguards Policy.","Low","—","N/A","","0"
"UCSF Security Review","Risk Management","7","Are you identifying risks to your IT Infrastructure by conducting vulnerability scans and an Enterprise Risk Assessment?","Are you regularly scanning for security weaknesses and assessing risks?","Full","Yes. Millie is continuously monitored via ConnectSecure (Tenisi-owned tenant) with scans twice monthly — once after Patch Tuesday and once two weeks later to verify remediations. The 01c. Risk Management Policy requires annual enterprise risk assessment; the latest annual risk letter is in Supporting Sources/Copy of Annual Risk Letter _ Mitigations from 03q HIPAA - Risk Management Policy.docx.","Low","—","N/A","","0"
"UCSF Security Review","Risk Management","8","What was the date of your last Risk Assessment?","When was your last security risk review?","Full","The most recent vulnerability scan was performed on 4/30/2026 (Tenisi/ConnectSecure). The most recent annual risk letter is filed in Supporting Sources/Copy of Annual Risk Letter _ Mitigations from 03q HIPAA - Risk Management Policy.docx.","Low","—","N/A","","0"
"UCSF Security Review","Risk Management","9","Are threats, both internal and external, identified and documented in the risk assessment?","Does your risk review list out specific threats — both people inside the company and outsiders?","Partial","The 01c. Risk Management Policy §III requires threat identification (Human-Intentional, Human-Unintentional, Environment-Natural, Environment-Man Made), vulnerability identification, control analysis, likelihood, impact, and risk determination. Threat-register evidence is in Supporting Sources/Copy of Annual Risk Letter _ Mitigations from 03q HIPAA - Risk Management Policy.docx.","Medium","Confirm current risk assessment / threat register attaches all four threat categories with named threats.","N/A — supporting doc","Attach current threat register showing internal/external threats by category, vulnerabilities, controls, likelihood, impact, residual risk, owner.","16"
"UCSF Security Review","Risk Management","10","Who is responsible for performing the risk analysis?","Who actually does the risk review?","Full","The Risk Review Committee (Chief Privacy Officer, Chief Security Officer, subject-matter experts), per 01c. Risk Management Policy §III. 01b. HIPAA Definitions also defines the Risk Management Team (compliance, security, privacy, HR/facilities, technology SMEs). Tenisitech owns the ConnectSecure tenant and performs the vulnerability-scan portion.","Low","—","N/A","","0"
"UCSF Security Review","Risk Management","11","Is there a policy defining organizational risk tolerance and risk acceptance authority?","Do you have a written rule about who decides which risks are acceptable to live with?","Partial","The 01c. Risk Management Policy requires reporting risk-assessment results to the Risk Review Committee and (for material risks) the Board or designated committee, but does not define explicit risk-tolerance thresholds or formal acceptance authority.","Medium","No explicit Risk Acceptance / Risk Tolerance policy.","01c. Risk Management Policy","Append 1-paragraph clause to Risk Management Policy: Risk acceptance authority is held by the Chief Security Officer for operational risks; material risks must be accepted in writing by the Chief Executive Officer with Board notification. Acceptance is documented in the risk register with rationale, compensating controls, and review cadence.","49"
"UCSF Security Review","Physical Security","12","Is there a facility security plan that manages and protects all assets?","Do you have a written plan for keeping the clinic building physically secure?","Full","Yes. 01d. Safeguards Policy §III covers Facility Access Controls and physical safeguards; 04b. Paper Document Management Policy covers paper-PHI handling and secure storage.","Low","—","N/A","","0"
"UCSF Security Review","Access Control","13","How do you control remote access to your network?","How do you let people log in safely from outside the clinic?","Full","There is currently no remote access via VPN services. Tenisitech uses NinjaOne RMM to remotely access devices as needed for troubleshooting. The 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations §III (Remote Access) defines requirements where remote access is used (authorization, encryption, no-local-PHI, monitoring, termination of privileges).","Low","—","N/A","","0"
"UCSF Security Review","Access Control","14","Are access permissions managed, incorporating the principles of least privilege and separation of duties?","Do people only get access to what they need for their job?","Full","Yes. Millie's internal admin dashboard enforces RBAC based on role; AWS, Aptible, and GitHub use RBAC and are limited to the technical team. Supported by §II of 02c. PHI Use, Disclosure, Minimum Necessary & De-Identification (Minimum Necessary Rule) and 01d. Safeguards Policy (unique user IDs by job responsibility).","Low","Could strengthen with screenshots / admin RBAC role matrix.","N/A — supporting doc (optional)","Optional: Admin RBAC role matrix screenshot.","6"
"UCSF Security Review","Network Security","15","Do you segment your network into protected/isolated networks?","Are your patient-data systems on a separate network from general office WiFi?","Full","There is no physical server infrastructure (cloud-only). LAN is separate from production. Wireless is split into guest and production networks. Tenisi-owned operational control.","Low","No standalone Network Segmentation diagram on file.","N/A — supporting doc","Optional: Network Segmentation / Architecture Statement (1 page summary + simple diagram).","12"
"UCSF Security Review","Training","16","Do you track and measure user training completion?","Do you keep records of who finished the security training?","Partial","The Privacy & Security Training (March 2025) document requires every employee to complete training and includes an acknowledgment. A formal completion tracker / LMS export / measurement (test) is not currently on file.","Medium","Need evidence that completion is tracked and measured.","N/A — supporting doc","Create Training Completion Tracking SOP + roster/export (assignment, completion, reminders, acknowledgement retention).","12"
"UCSF Security Review","Vendor Management","17","Do you have a formal vendor management program that requires a minimum level of HIPAA compliance based on risk?","Do you have a real process for checking vendors' security before working with them?","Partial","The 06a. Business Associate Agreement Policy requires BAAs before any vendor handles PHI, and the Supporting Sources/Millie Matrix of Platforms, Software Subscriptions, and Access (1).xlsx identifies vendor admins and BAA status. A formal risk-tiered vendor management program (security questionnaire, scoring, periodic reassessment) is not yet documented.","Medium","BAA process exists; vendor security questionnaire/risk tiering evidence not formalized.","N/A — supporting doc","Create Vendor Risk Management Program SOP (vendor inventory, risk tier, HIPAA/security questionnaire, BAA review, approval workflow, periodic reassessment) + evidence folder.","21"
"UCSF Security Review","Data Protection","18","What technical controls are being used to protect data stored on electronic storage media?","How is patient data protected on hard drives, databases, and storage?","Full","Password protection, unique user IDs, 2FA where possible, approved password manager usage, device encryption for any device touching PHI, prohibitions on local PHI storage, and encryption for ePHI over open networks (per §I/§II/§III/§IV of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations). Aptible-managed databases are encrypted at rest (https://www.aptible.com/docs/core-concepts/managed-databases/managing-databases/database-encryption/overview).","Low","—","N/A","","0"
"UCSF Security Review","Physical Security","19","What physical security controls are in place to protect data?","What physical things (locks, cabinets, etc.) protect patient data at the clinic?","Full","Per 01d. Safeguards Policy (Safeguards Policy) §III and 04b. Paper Document Management Policy (Paper Document Management), Millie uses locked storage for paper PHI, restricted-access work areas, visitor controls, and workstation locking. §IV of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Workstation Use) requires session locking and prohibits local PHI storage.","Low","—","N/A","","0"
"UCSF Security Review","Data Protection","20","How is data protected when it is in transit to external organizations?","How is patient data kept safe when emailed or sent to others?","Full","ePHI must be encrypted before email or transmission over open networks (§I of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations — Encryption, requiring FIPS 140-2 / NIST SP 800-52/77/113 standards). The Remote Access section (§III of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations) prohibits transmitting PHI over unencrypted channels.","Low","—","N/A","","0"
"UCSF Security Review","Asset Management","21","Are assets formally managed throughout the life cycle (acquisition, movement, transfers, disposal)?","Is there a documented process for buying, moving, and getting rid of computers and equipment?","Full","04a. Contingency Planning Policy requires maintaining and updating an IT inventory and prohibits purchasing IT components without Chief Security Officer approval; §III of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Remote Access) requires tracking removed Company equipment; §IV (Workstation Use) and 04b. Paper Document Management Policy address secure storage and disposal. 06b. SDLC & Asset Lifecycle Policy (SDLC) covers asset-lifecycle handling for software/systems.","Low","Hardware lifecycle for Tenisi-managed devices isn't end-to-end documented in Millie's policies.","N/A — supporting doc","Optional: Asset Lifecycle SOP / Tenisi hardware inventory export.","9"
"UCSF Security Review","Network Security","22","How are you monitoring your networks for data leaks?","How do you watch for someone leaking data out of the company?","Full","Audit logging across the data stack: Fivetran (connector / sync activity), Databricks (logins, data access, queries), Hex (workspace actions/access), Aptible (workspace actions, database access), AWS (CloudTrail + CloudWatch for app activity). User Notifications in AWS alert on sign-in anomalies and root-user logins. Anomalous-access investigations are documented in incident logs per §I of 05a (Incident & Breach Response).","Low","No standalone DLP/log-monitoring statement; reliance on multiple per-platform audit logs.","N/A — supporting doc","Optional: Data Leak Monitoring / DLP Statement (1 page) summarizing per-platform audit logging, review cadence, and escalation.","17"
"UCSF Security Review","Configuration Management","23","Is a baseline configuration of IT systems created and maintained?","Do you have a standard setup that every computer/server starts from?","Full","Devices enrolled in NinjaOne (Tenisi RMM) receive patch-management schedules along with baseline security tools, vulnerability-scanning agent (ConnectSecure), and policy management. §IV of 03a (Workstation Use) defines baseline expectations.","Low","No documented Secure Configuration Baseline Standard outside Tenisi's NinjaOne configuration.","N/A — supporting doc","Optional: Secure Configuration Baseline Standard (endpoint / server / cloud / network baseline controls, owner, review cadence, exceptions).","18"
"UCSF Security Review","Configuration Management","24","Is a System Development Life Cycle (SDLC) implemented for all asset and hardware configurations?","Is there a documented step-by-step lifecycle (plan, build, test, deploy, retire) for systems?","Full","Yes. 06b. SDLC & Asset Lifecycle Policy (SDLC & Asset Lifecycle Policy) defines the lifecycle for systems and software (planning, requirements, design, testing, implementation, operations/maintenance, retirement). AGENTS.md adds engineering change discipline, testing, approvals.","Low","—","N/A","","0"
"UCSF Security Review","Configuration Management","25","Are configuration change control processes in place?","Is there a real process to track, review, and approve changes to systems?","Partial","06b. SDLC & Asset Lifecycle Policy §III(c) covers pre-deploy validation and approval gates; engineering changes use GitHub PR review + Aptible deploy logs. A discretely-named Change Management policy/log with classification (standard / normal / emergency) is not yet on file.","Medium","Need formal Change Management Policy with change-log template.","06b. SDLC & Asset Lifecycle Policy","Append 1-paragraph Change Management section to SDLC Policy: Changes to production systems require peer review and approval through GitHub pull-request + Aptible deploy pipeline. Chief Security Officer owns the change-control process; reviewed annually. Production-change records are retained via Git history and Aptible deploy logs.","44"
"UCSF Security Review","Business Continuity","26","Are backups of information and server/laptop configurations created, maintained, and tested periodically?","Do you back up patient data and computer settings, and do you test the backups?","Full","Yes for data and software. 04a. Contingency Planning Policy requires backup of all data on the IT System every 24 hours, encrypted off-site storage, quarterly review of backup procedures, and DR drills/tests. The May 2026 DR review is in Supporting Sources/Disaster Recovery Review - May 2026.xlsx. No backup software is in place for laptops; no on-prem server infrastructure exists (SaaS only).","Low","—","N/A","","0"
"UCSF Security Review","Asset Management","27","Is there a disposal policy that addresses both data and hardware?","Is there a written rule for how to safely throw away patient data and old computers?","Full","Yes. 01d. Safeguards Policy requires PHI disposal in a manner that renders it unreadable/unusable, paper shredding, media sanitization before reuse, and ePHI deletion when no longer needed. 04b. Paper Document Management Policy requires shredding of protected documents and vendor certificates of destruction.","Low","—","N/A","","0"
"UCSF Security Review","Business Continuity","28","Are Business Continuity plans and Disaster Recovery plans in place and managed?","Do you have a written plan for keeping the clinic running after a disaster?","Full","Yes. 04a. Contingency Planning Policy establishes continuity/disaster response, data and software backup, IT inventory, UPS/power protections, DR plan preparation/approval, critical-provider business-continuity clauses, emergency operations, drills/testing, updates, confidentiality, and insurance considerations. The May 2026 DR review (in Supporting Sources/Disaster Recovery Review - May 2026.xlsx) is the latest evidence.","Low","—","N/A","","0"
"UCSF Security Review","HR Security","29","Do you conduct background checks on all members of the workforce, and exit interviews to cover HIPAA obligations after employment?","Do you check new hires' backgrounds and remind them about confidentiality when they leave?","Partial","Background checks and exit interviews are HR-managed via Gusto. No formal Millie-side policy / HR attestation documenting that HIPAA-confidentiality reminders are part of the exit process.","Medium","HR-owned process not formally documented as a security policy.","N/A — supporting doc (HR-owned)","HR to add: background-check scope and timing, exit checklist including HIPAA confidentiality reminder, access handoff to IT. Capture as HR SOP or 1-paragraph attestation.","24"
"UCSF Security Review","Access Control","30","Is there a formal process for provisioning and removal of all user accounts, and physical access?","Is there a documented process for creating and removing user accounts and building access?","Partial","§II/§III of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Password / Remote Access) requires deactivation of passwords and remote access on termination or role change. Supporting Sources/Millie Matrix of Platforms, Software Subscriptions, and Access (1).xlsx captures per-platform admins. A formal cross-system access provisioning/deprovisioning SOP covering all user accounts AND physical access is not yet on file.","Medium","Need formal user lifecycle / access request workflow.","N/A — supporting doc","Create Access Provisioning & Deprovisioning SOP (request, approval, role mapping, least privilege, provisioning, periodic review, termination/offboarding SLAs, physical access).","19"
"UCSF Security Review","Data Protection","31","Do you restrict the use of removable media (USB drives) and limit access to only authorized users?","Are USB sticks and external drives controlled and limited to approved people?","Full","Yes. §IV of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Workstation Use) requires work files to be stored on the external hosting platform or app — not on C drive, CD, thumb drive, or directly on mobile devices unless authorized. §III (Remote Access) prohibits storing PHI on hard drives. 01d. Safeguards Policy requires ePHI removal from media before reuse.","Low","—","N/A","","0"
"UCSF Security Review","Data Mapping","32","Have you mapped all internal and external data flows?","Do you know exactly where patient data lives and who you share it with?","Partial","AGENTS.md describes major systems and workflows (Acuity, EMR/Elation, Zendesk, Zentake, Withings, Customer.io, Twilio/SendGrid, AWS/Aptible). The Supporting Sources/Millie Matrix of Platforms, Software Subscriptions, and Access (1).xlsx identifies systems and access. No complete internal/external sensitive-data-flow map with PHI categories, sources, destinations, vendors, and owners.","Medium","No explicit data-flow map / data inventory document.","N/A — supporting doc","Create Internal/External Data Flow Map and Data Inventory (system inventory, PHI categories, source/destination, transfers, vendors, storage locations, encryption, owner, retention, BAAs).","21"
"UCSF Security Review","Incident Response","33","Are security/privacy incidents reviewed for impact?","After a security event, do you review what happened and what damage was done?","Full","Yes. §I of 05a. Incident & Breach Response (Security Incident Management) requires prompt reporting, CSO investigation within 24 hours, response priorities, incident logs, post-incident analysis, and annual reporting. §II (Breach Notification) requires investigation, PHI compromise assessment, risk assessment, notifications, mitigation, sanctions, and accounting of disclosures.","Low","—","N/A","","0"
"UCSF Security Review","Incident Response","34","Do you have an incident management policy that defines criticality and decision response authority?","Do you have a written policy that says how serious each incident is and who decides what to do?","Full","Yes. §I of 05a. Incident & Breach Response assigns incident response authority to the Chief Security Officer, Chief Compliance Officer, Chief Privacy Officer, General Counsel/CLO, and CEO depending on incident actions. §II identifies the Chief Privacy Officer as responsible for breach investigation/notification decisions with Security Officer involvement.","Low","Severity-tier categories aren't explicit in the policy.","N/A — supporting doc (optional)","Optional: Incident Severity & Escalation Matrix referenced from the Incident & Breach Response Policy.","14"
"UCSF Security Review","Network Security","35","Is the network monitored to detect potential cybersecurity events?","Are you watching your network for hackers and unusual activity?","Partial","§III of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Remote Access) mentions maintaining/reviewing records of inbound remote access. AWS GuardDuty and User Notifications alert on sign-in anomalies. No formal IDS/IPS / SIEM / firewall-alerting documentation outside Tenisi's NinjaOne agent.","Medium","No standalone Network Security Monitoring statement; relies on Tenisi-managed agents + per-platform alerts.","N/A — supporting doc","Create Network Security Monitoring / IDS-IPS Statement (coverage, Tenisi alerting, review cadence, escalation, sample alert evidence).","16"
"UCSF Security Review","Physical Security","36","Is the physical environment monitored to detect potential security events? (cameras, security guards, badge readers)","Do you have cameras or badge readers watching the clinic for break-ins?","Partial","01d. Safeguards Policy includes visitor controls, IDs, and secure storage. Cameras / guards / badge readers / equivalent active physical-environment monitoring per-site is not documented in policy.","Medium","Site-by-site physical monitoring details not documented.","N/A — supporting doc (per-site)","Create per-site Physical Security Monitoring Statement (locks, cameras, badge/access controls, visitor logs, restricted areas, responsible owner, exceptions).","17"
"UCSF Security Review","Incident Response","37","Do you have a security/privacy incident response policy that identifies key personnel and requires root cause analysis?","Do you have a written incident response policy that requires figuring out the root cause?","Full","Yes. §I of 05a. Incident & Breach Response identifies key personnel, reporting, investigation, response priorities, incident logs, and post-incident analysis (vulnerabilities exploited, how the incident occurred, resolution/containment, policy adequacy, unresolved vulnerabilities, needed updates). §II covers breach determination and risk assessment.","Low","—","N/A","","0"
"UCSF Security Review","Business Continuity","38","Do you test your down time procedures and your disaster recovery plans?","Do you actually practice your disaster recovery plan?","Full","Yes. 04a. Contingency Planning Policy requires the Chief Security Officer to conduct drills and exercises with personnel to test and evaluate DR plans, and submit written summaries to the CEO. The May 2026 DR review in Supporting Sources/Disaster Recovery Review - May 2026.xlsx is the latest test evidence.","Low","—","N/A","","0"
"UCSF Security Review","Business Continuity","39","Do you incorporate lessons learned into the disaster recovery planning process?","After a disaster drill, do you update your plan based on what you learned?","Full","Yes. 04a. Contingency Planning Policy states that DR plans and emergency protocols must be revised to remedy deficiencies identified during drills, or to reflect material changes in operations, systems, personnel, contractors, and business arrangements.","Low","—","N/A","","0"
